Baseline 100%T,,IRRAD BUDAPEST J4 0.4dpa POST VDG,,
Wavelength (nm),%T,Wavelength (nm),%T,
3089,100.3549347,2948.262939,87.53708649,
3088,100.3585663,2946.595947,87.55918884,
3087,100.3699875,2944.928955,87.55644226,
3086,100.3937454,2943.261963,87.55860901,
3085,100.3976364,2941.594971,87.5520401,
3084,100.3757324,2939.927979,87.56252289,
3083,100.3685379,2938.260986,87.57090759,
3082,100.3925476,2936.593994,87.56135559,
3081,100.4001389,2934.927002,87.57093048,
3080,100.4078751,2933.26001,87.56718445,
3079,100.3888474,2931.593018,87.57253265,
3078,100.3836136,2929.926025,87.57496643,
3077,100.3791809,2928.259033,87.58668518,
3076,100.3910904,2926.592041,87.57358551,
3075,100.4084473,2924.925049,87.5845108,
3074,100.394371,2923.258057,87.57492065,
3073,100.3966064,2921.591064,87.59772491,
3072,100.4252167,2919.924072,87.58598328,
3071,100.4199371,2918.25708,87.59883881,
3070,100.4325867,2916.590088,87.5802536,
3069,100.4341736,2914.923096,87.59475708,
3068,100.4472885,2913.256104,87.58906555,
3067,100.4469528,2911.588867,87.58796692,
3066,100.4698486,2909.921875,87.59107971,
3065,100.4957809,2908.254883,87.58751678,
3064,100.4824753,2906.587891,87.59529877,
3063,100.464592,2904.920898,87.5921936,
3062,100.4875031,2903.253906,87.60535431,
3061,100.525856,2901.586914,87.59644318,
3060,100.5169144,2899.919922,87.59966278,
3059,100.4922867,2898.25293,87.58546448,
3058,100.5297775,2896.585938,87.59599304,
3057,100.5618439,2894.918945,87.60128784,
3056,100.5596161,2893.251953,87.59916687,
3055,100.5549927,2891.584961,87.59178162,
3054,100.5648346,2889.917969,87.60116577,
3053,100.5689621,2888.250977,87.59663391,
3052,100.5507202,2886.583984,87.61747742,
3051,100.5432739,2884.916992,87.60077667,
3050,100.5528412,2883.25,87.61175537,
3049,100.5536652,2881.583008,87.59819031,
3048,100.5359879,2879.916016,87.60242462,
3047,100.5590439,2878.249023,87.59677124,
3046,100.572876,2876.582031,87.62028503,
3045,100.5702286,2874.915039,87.59457397,
3044,100.5348434,2873.248047,87.61325836,
3043,100.5370941,2871.581055,87.59857941,
3042,100.5597916,2869.914063,87.60855865,
3041,100.5833282,2868.24707,87.60539246,
3040,100.5562744,2866.580078,87.60623169,
3039,100.5832214,2864.913086,87.60494995,
3038,100.6128311,2863.246094,87.60957336,
3037,100.59552,2861.579102,87.60810852,
3036,100.6033173,2859.911865,87.61633301,
3035,100.642189,2858.244873,87.60267639,
3034,100.6362915,2856.577881,87.61701965,
3033,100.6158218,2854.910889,87.60653687,
3032,100.6163101,2853.243896,87.60337067,
3031,100.6410446,2851.576904,87.61239624,
3030,100.645462,2849.909912,87.61074066,
3029,100.6120682,2848.24292,87.61646271,
3028,100.6349564,2846.575928,87.61514282,
3027,100.6650543,2844.908936,87.61534882,
3026,100.6726761,2843.241943,87.62103271,
3025,100.6490479,2841.574951,87.6166687,
3024,100.6727219,2839.907959,87.61894989,
3023,100.7027588,2838.240967,87.61373138,
3022,100.677475,2836.573975,87.61126709,
3021,100.6677017,2834.906982,87.61987305,
3020,100.7046432,2833.23999,87.6286087,
3019,100.7160645,2831.572998,87.61684418,
3018,100.6823044,2829.906006,87.62300873,
3017,100.6693726,2828.239014,87.62615967,
3016,100.7129517,2826.572021,87.62761688,
3015,100.7182617,2824.905029,87.62242126,
3014,100.6984329,2823.238037,87.62063599,
3013,100.7146149,2821.571045,87.63626862,
3012,100.7733688,2819.904053,87.63724518,
3011,100.7714996,2818.237061,87.64373779,
3010,100.7325897,2816.570068,87.6342926,
3009,100.7641449,2814.903076,87.62844086,
3008,100.8129349,2813.236084,87.63424683,
3007,100.779892,2811.569092,87.63519287,
3006,100.7535934,2809.9021,87.63503265,
3005,100.8025665,2808.234863,87.64009857,
3004,100.8168564,2806.567871,87.63330078,
3003,100.7849579,2804.900879,87.64028168,
3002,100.7738571,2803.233887,87.64772797,
3001,100.8451233,2801.566895,87.63472748,
3000,100.8348465,2799.899902,87.6423645,
2999,100.7778015,2798.23291,87.64176941,
2998,100.8069305,2796.565918,87.64836121,
2997,100.8642578,2794.898926,87.65396118,
2996,100.8447266,2793.231934,87.65412903,
2995,100.8088684,2791.564941,87.65333557,
2994,100.8575211,2789.897949,87.64958954,
2993,100.8913498,2788.230957,87.65316772,
2992,100.8565063,2786.563965,87.65206146,
2991,100.8623505,2784.896973,87.66055298,
2990,100.9243851,2783.22998,87.65792847,
2989,100.9377747,2781.562988,87.64495087,
2988,100.9103088,2779.895996,87.65831757,
2987,100.9439926,2778.229004,87.6473999,
2986,101.0232086,2776.562012,87.64752197,
2985,100.9917831,2774.89502,87.64878082,
2984,100.9562531,2773.228027,87.65579224,
2983,101.0222321,2771.561035,87.65594482,
2982,101.0472031,2769.894043,87.65557861,
2981,101.0002975,2768.227051,87.65061188,
2980,101.0051575,2766.560059,87.66225433,
2979,101.0582581,2764.893066,87.65628052,
2978,101.0366592,2763.226074,87.66403198,
2977,100.9922028,2761.559082,87.64597321,
2976,101.0272141,2759.89209,87.64339447,
2975,101.0708466,2758.225098,87.65241241,
2974,101.012764,2756.557861,87.66635132,
2973,100.9935989,2754.890869,87.66210938,
2972,101.0515671,2753.223877,87.64514923,
2971,101.0557785,2751.556885,87.65369415,
2970,101.0038986,2749.889893,87.66238403,
2969,101.015686,2748.2229,87.65033722,
2968,101.0796204,2746.555908,87.65608978,
2967,101.0527725,2744.888916,87.65497589,
2966,101.004097,2743.221924,87.65174103,
2965,101.074852,2741.554932,87.66687012,
2964,101.128746,2739.887939,87.65962219,
2963,101.0897064,2738.220947,87.66172028,
2962,101.1051178,2736.553955,87.65840149,
2961,101.1907196,2734.886963,87.66857147,
2960,101.1944733,2733.219971,87.66984558,
2959,101.1663666,2731.552979,87.6727829,
2958,101.2199783,2729.885986,87.67532349,
2957,101.2735519,2728.218994,87.67844391,
2956,101.2330399,2726.552002,87.68804169,
2955,101.2233276,2724.88501,87.68357849,
2954,101.2994308,2723.218018,87.68891907,
2953,101.3192749,2721.551025,87.68230438,
2952,101.2467957,2719.884033,87.6822052,
2951,101.2651215,2718.217041,87.68862915,
2950,101.343132,2716.550049,87.67765045,
2949,101.3085251,2714.883057,87.66770172,
2948,101.2680435,2713.216064,87.6810379,
2947,101.3173676,2711.549072,87.68717957,
2946,101.333252,2709.88208,87.69484711,
2945,101.269516,2708.215088,87.68325806,
2944,101.2829056,2706.548096,87.68739319,
2943,101.3438492,2704.880859,87.68426514,
2942,101.3184891,2703.213867,87.69311523,
2941,101.2976151,2701.546875,87.69033813,
2940,101.3816681,2699.879883,87.69715118,
2939,101.4423828,2698.212891,87.69210815,
2938,101.3942108,2696.545898,87.68528748,
2937,101.3958359,2694.878906,87.69436646,
2936,101.4909058,2693.211914,87.67385864,
2935,101.4916916,2691.544922,87.68173218,
2934,101.4468536,2689.87793,87.68338013,
2933,101.4834442,2688.210938,87.68362427,
2932,101.5553207,2686.543945,87.66840363,
2931,101.5416641,2684.876953,87.65714264,
2930,101.5441437,2683.209961,87.66254425,
2929,101.6067734,2681.542969,87.64790344,
2928,101.6190491,2679.875977,87.65133667,
2927,101.5795593,2678.208984,87.62682343,
2926,101.6339417,2676.541992,87.64459229,
2925,101.6793747,2674.875,87.61736298,
2924,101.6137848,2673.208008,87.60001373,
2923,101.5989532,2671.541016,87.56285095,
2922,101.674057,2669.874023,87.60041809,
2921,101.6738663,2668.207031,87.61993408,
2920,101.6129379,2666.540039,87.62752533,
2919,101.6379623,2664.873047,87.63092804,
2918,101.7338867,2663.206055,87.64653778,
2917,101.7290268,2661.539063,87.60536957,
2916,101.7183151,2659.87207,87.6239624,
2915,101.7581558,2658.205078,87.59143066,
2914,101.7804642,2656.538086,87.59361267,
2913,101.7577972,2654.871094,87.62280273,
2912,101.7740402,2653.203857,87.64224243,
2911,101.812973,2651.536865,87.66238403,
2910,101.7584305,2649.869873,87.67311859,
2909,101.7483139,2648.202881,87.65763092,
2908,101.811409,2646.535889,87.6858902,
2907,101.801506,2644.868896,87.66912079,
2906,101.7473221,2643.201904,87.6649704,
2905,101.7873077,2641.534912,87.67121124,
2904,101.8655396,2639.86792,87.66090393,
2903,101.8301468,2638.200928,87.66313934,
2902,101.7909164,2636.533936,87.65292358,
2901,101.8267746,2634.866943,87.6427536,
2900,101.8347626,2633.199951,87.65605927,
2899,101.7829056,2631.532959,87.63723755,
2898,101.7907104,2629.865967,87.65007782,
2897,101.8056488,2628.198975,87.64829254,
2896,101.7805557,2626.531982,87.63882446,
2895,101.8224258,2624.86499,87.65437317,
2894,101.8760681,2623.197998,87.63682556,
2893,101.8578262,2621.531006,87.6348114,
2892,101.8363953,2619.864014,87.6417923,
2891,101.9165039,2618.197021,87.62665558,
2890,101.9645233,2616.530029,87.64725494,
2889,101.9366531,2614.863037,87.63235474,
2888,101.9740677,2613.196045,87.6268158,
2887,102.0469894,2611.529053,87.65853882,
2886,102.0665436,2609.862061,87.63102722,
2885,102.0750275,2608.195068,87.64878845,
2884,102.1283951,2606.528076,87.62504578,
2883,102.1600037,2604.861084,87.62365723,
2882,102.1617203,2603.194092,87.62680054,
2881,102.2058029,2601.526855,87.60379028,
2880,102.2232056,2599.859863,87.6390686,
2879,102.1949921,2598.192871,87.61965942,
2878,102.2146912,2596.525879,87.63478088,
2877,102.282074,2594.858887,87.63342285,
2876,102.271637,2593.191895,87.60677338,
2875,102.2399292,2591.524902,87.63643646,
2874,102.2743225,2589.85791,87.61875916,
2873,102.3310318,2588.190918,87.63118744,
2872,102.3310089,2586.523926,87.6243515,
2871,102.351738,2584.856934,87.62741852,
2870,102.3948517,2583.189941,87.61447144,
2869,102.4091034,2581.522949,87.62478638,
2868,102.4049149,2579.855957,87.64802551,
2867,102.4473877,2578.188965,87.63720703,
2866,102.4684677,2576.521973,87.63728333,
2865,102.4559631,2574.85498,87.61438751,
2864,102.4854507,2573.187988,87.63110352,
2863,102.5021439,2571.520996,87.64080811,
2862,102.4722824,2569.854004,87.61578369,
2861,102.4875031,2568.187012,87.63291168,
2860,102.5310059,2566.52002,87.61821747,
2859,102.5281219,2564.853027,87.62075806,
2858,102.4812546,2563.186035,87.63070679,
2857,102.4775772,2561.519043,87.63379669,
2856,102.5192413,2559.852051,87.63457489,
2855,102.5382996,2558.185059,87.63253021,
2854,102.5447617,2556.518066,87.64420319,
2853,102.583107,2554.851074,87.61133575,
2852,102.6017151,2553.184082,87.63608551,
2851,102.6378784,2551.51709,87.62093353,
2850,102.6722641,2549.849854,87.60586548,
2849,102.6728516,2548.182861,87.6315155,
2848,102.6704178,2546.515869,87.59571838,
2847,102.689743,2544.848877,87.60722351,
2846,102.7226563,2543.181885,87.60884094,
2845,102.7229462,2541.514893,87.60769653,
2844,102.7527237,2539.8479,87.6179657,
2843,102.8002625,2538.180908,87.61737823,
2842,102.8304138,2536.513916,87.60412598,
2841,102.8231659,2534.846924,87.61523438,
2840,102.857254,2533.179932,87.60398102,
2839,102.903656,2531.512939,87.60822296,
2838,102.9697189,2529.845947,87.60296631,
2837,103.0220413,2528.178955,87.59951782,
2836,103.0678177,2526.511963,87.5934906,
2835,103.0896912,2524.844971,87.59903717,
2834,103.115715,2523.177979,87.59745026,
2833,103.147171,2521.510986,87.5836792,
2832,103.1575928,2519.843994,87.60162354,
2831,103.1698837,2518.177002,87.58634186,
2830,103.2145386,2516.51001,87.57688141,
2829,103.2634583,2514.843018,87.60688782,
2828,103.2641907,2513.176025,87.58551788,
2827,103.285553,2511.509033,87.59515381,
2826,103.3289337,2509.842041,87.60401917,
2825,103.3629913,2508.175049,87.57611847,
2824,103.3812561,2506.508057,87.59143829,
2823,103.4390564,2504.841064,87.59342194,
2822,103.5309753,2503.174072,87.57378387,
2821,103.6376038,2501.50708,87.60608673,
2820,103.7219391,2499.840088,87.59509277,
2819,103.791748,2498.172852,87.5717392,
2818,103.8114395,2496.505859,87.60170746,
2817,103.8483887,2494.838867,87.57678223,
2816,103.8778534,2493.171875,87.57024384,
2815,103.8966751,2491.504883,87.59597778,
2814,103.9142456,2489.837891,87.57175446,
2813,103.9549026,2488.170898,87.57104492,
2812,103.9593124,2486.503906,87.58338165,
2811,103.9420166,2484.836914,87.56552124,
2810,103.9580078,2483.169922,87.57132721,
2809,103.9898834,2481.50293,87.58404541,
2808,104.0224457,2479.835938,87.57176208,
2807,104.0138931,2478.168945,87.5851593,
2806,104.0518265,2476.501953,87.56933594,
2805,104.0941086,2474.834961,87.55728149,
2804,104.1177979,2473.167969,87.56829834,
2803,104.1368713,2471.500977,87.57027435,
2802,104.0804138,2469.833984,87.55891418,
2801,104.0944824,2468.166992,87.57003784,
2800,104.1339417,2466.5,87.56767273,
2799,104.2050476,2464.833008,87.56117249,
2798,104.2509308,2463.166016,87.55619049,
2797,104.3212433,2461.499023,87.55944824,
2796,104.4163132,2459.832031,87.56765747,
2795,104.4689331,2458.165039,87.55491638,
2794,104.5109482,2456.498047,87.56369781,
2793,104.5714874,2454.831055,87.55319977,
2792,104.6057434,2453.164063,87.5533905,
2791,104.6142197,2451.49707,87.5502243,
2790,104.6902771,2449.830078,87.55226135,
2789,104.7432404,2448.163086,87.5464325,
2788,104.8065338,2446.496094,87.55389404,
2787,104.8543472,2444.828857,87.54779053,
2786,104.878006,2443.161865,87.54949188,
2785,104.90979,2441.494873,87.53424072,
2784,105.0303955,2439.827881,87.55024719,
2783,105.083786,2438.160889,87.52867126,
2782,105.1385498,2436.493896,87.52963257,
2781,105.1498566,2434.826904,87.53338623,
2780,105.211853,2433.159912,87.53388977,
2779,105.1898804,2431.49292,87.52301788,
2778,105.1751633,2429.825928,87.54135895,
2777,105.1382446,2428.158936,87.54236603,
2776,105.1105728,2426.491943,87.52252197,
